,mbta_part_number,description,mfg,mfg_itm_id
30167,31420012,DRILL-NO 12 USE 021- 17-012 DO NOT REORDER,MORSE,1340
30168,31420019,DRILL #19 WIRE GA HS S ST.S HD COTT.PIN AISI-M7 STL,MORSE,NO 1385-S
30169,31420019,DRILL #19 WIRE GA HS S ST.S HD COTT.PIN AISI-M7 STL,NEW PROCES,NO. 407
30170,31420019,DRILL #19 WIRE GA HS S ST.S HD COTT.PIN AISI-M7 STL,PRECISION,R-18-D
30171,31420022,DRILL NO 22 HSS-SS(,-----MORSE,NO-1385-S
30172,31421004,DRILLS 1/4 HSS-SS T APER LENGTH,MORSE,NO-1314
30173,31421004,DRILLS 1/4 HSS-SS T APER LENGTH,PRECISION,R-51
30174,31421010,DRILLS 3/8 HSS-SS HD COTTER PIN AISI M-7 STEEL,-----MORSE,-----NO-1385-S
30175,31421010,DRILLS 3/8 HSS-SS HD COTTER PIN AISI M-7 STEEL,NEWPROCESS,NO-405
30176,31421010,DRILLS 3/8 HSS-SS HD COTTER PIN AISI M-7 STEEL,PRECISION,R-10-D
30177,31421012,DRILL-7/16 TAPR LGTH HSS-SS HD COTR PIN AISI M7STL,PRECISION,R-51
30178,31421016,DRILL- 9/16 HSS-SS GENERAL PURPOSE AISI M-7-STEEL,MORSE,NO-1330
30179,31421016,DRILL- 9/16 HSS-SS GENERAL PURPOSE AISI M-7-STEEL,PRECISION,R-209
30180,31423001,"BITS-TIE BORING 1/2"" SHANK 5/8"" DIAMETER",NEW YORK T,31955
30181,31423001,"BITS-TIE BORING 1/2"" SHANK 5/8"" DIAMETER",TOOL WOR,#2861
30182,31423002,BIT POWER PIPE 2 1/2 GREENLEE #87,GREENLEY,567
30183,31423003,DRILL-EDP10597-11/8I N HS TS WITH NO 3 MTS,-NATIONAL-,NO 200C------
30184,31423005,BIT-3/8 WOOD DRILL S .S. 24 IN.OVERALL,GREENLEE,48PT-3/8-24 N/L/A
30185,31423005,BIT-3/8 WOOD DRILL S .S. 24 IN.OVERALL,IRWIN,39406
30186,31423006,"BIT-AUGER 5/8"" , 23"" LTH 18"" TWIST 7/16"" HX SHK",IRWIN,IRWIN 46910
30187,31423006,"BIT-AUGER 5/8"" , 23"" LTH 18"" TWIST 7/16"" HX SHK",IRWIN,46910
30188,31423007,"BIT AUGAR 3/4"" X 23"" LONG (2 WAY CUTTING)",IRWIN,46912 D/N/R/O
30189,31423007,"BIT AUGAR 3/4"" X 23"" LONG (2 WAY CUTTING)",MAG-BIT,727-1216
30190,31423007,"BIT AUGAR 3/4"" X 23"" LONG (2 WAY CUTTING)",MAG-BIT,MAG-BIT 727-1216
30191,31423015,"DRILL- 1/2 DIA STAR- HAND TYPE 10"" OR 12"" PREFERD",STAR,1235-12000
30192,31423019,DRILL-1IN STAR HAND TYPE 8IN. DRILLING DEPTH,CHGO PNEU.,P-8744
30193,31423020,DRILL-11/8 STAR HAND TYPE 12 IN LENGTH,--STAR----,CAT #1270-12-
